질병명,상세 정보
1급 및 2급 간성 뇌증,간성 뇌증은 간이 혈액 내 암모니아와 같은 독소를 제거하는 능력에 장애가 생겨 뇌 기능에 변화가 생기는 것을 말합니다.
1급 및 2급 간성 뇌증,"간염, 간경화 등 간 질환이 있거나 간을 통과하는 혈류에 장애가 일어나 혈류 내 암모니아 수치가 증가하여 뇌 기능에 영향을 주면 발생합니다."
1급 및 2급 간성 뇌증,"구취가 나는(또는 달콤한) 호흡, 수면장애, 정신착란, 빈번한 건망증, 성격 변화, 집중력 변화, 미세한 움직임이 서투름, 떨림 및 초조해하는 경향 등의 증상이 나타납니다."
1급 및 2급 간성 뇌증,"진단은 병력 확인, 신체 검진, 혈액 검사를 통해 이루어집니다."
1급 및 2급 간성 뇌증,"원인이 알려진 경우 소화기 출혈, 감염 등을 반드시 치료해야 합니다."
1형 당뇨병,인슐린의 결핍으로 인해 혈중 포도당 수치가 높아지는 대사질환입니다.
1형 당뇨병,인슐린은 체내 세포가 포도당을 에너지원으로 사용하는 데 필요한 호르몬입니다. 이 호르몬을 생산하는 췌장 베타세포가 파괴되어 결핍이 발생합니다. 정확한 원인은 밝혀지지 않았지만 유전적 소인과 환경적 요인이 복합적으로 작용하여 자가면역반응이 시작되는 것으로 알려져 있습니다.
1형 당뇨병,"높은 혈당 수치는 갈증 증가와 수분 섭취 증가(다음증), 배뇨 증가(다뇨증), 식욕 증가(다식증)라는 세 가지 주요 증상을 유발합니다."
1형 당뇨병,혈중 포도당 수치를 측정하여 임상적이고 분석적인 방식으로 진단을 내립니다.
1형 당뇨병,치료의 목적은 혈당 수치를 낮추고 케톤체(당뇨병성 케톤산증)를 예방하는 것입니다. 치료는 인슐린을 피하에 주사하는 방식 또는 이식형 펌프를 통해 주입하는 방식으로 이루어집니다.
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),피부와 중추신경계 신경 조직(뇌 및 척수 신경)에 종양을 형성하는 유전성 질환입니다.
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),원인은 부모로부터 자식에게 전파되거나 정자 또는 난자 유전자돌연변이로 인해 발생합니다. 대부분의 종양은 암(악성)이 아니지만 일부 종양은 시간이 지남에 따라 악성으로 변할 수 있습니다.
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),"가장 흔한 증상으로는 피부에 6개 이상의 연한 갈색 반점(직경 5mm 초과), 2개 이상의 신경 섬유종(양성 종양), 서혜부 또는 겨드랑이의 주근깨, 눈 홍채에 2개 이상의 반점, 시신경 종양, 뼈의 변형(척추측만증, 두개골 직경 비대) 등이 있습니다."
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),"진단은 임상 병력 확인, 안과 검사와 함께 진행할 수 있는 신체 검사, 유전자 검사, MRI 및 증상에 따른 기타 검사를 통해 이루어집니다."
1형 신경섬유종증 - 폰렉클링하우젠병 (소아청소년과),일부 종양을 제거하기 위해 외과적 치료가 필요할 수 있지만 치료는 대증요법으로 이루어집니다.
